date,t,y
2024-05-01,0,10.0
2024-05-02,1,11.2
2024-05-03,2,12.4
2024-05-04,3,13.6
2024-05-05,4,14.8
2024-05-06,5,16.0
2024-05-07,6,17.2
2024-05-08,7,18.4
2024-05-09,8,19.6
2024-05-10,9,20.8
2024-05-11,10,22.0
2024-05-12,11,23.2
2024-05-13,12,24.4
2024-05-14,13,25.6
2024-05-15,14,26.8
2024-05-16,15,28.0
2024-05-17,16,29.2
2024-05-18,17,28.5
2024-05-19,18,27.8
2024-05-20,19,27.1
2024-05-21,20,26.4
2024-05-22,21,25.7
2024-05-23,22,25.0
2024-05-24,23,24.3
2024-05-25,24,23.6
2024-05-26,25,22.9
2024-05-27,26,22.2
2024-05-28,27,21.5
2024-05-29,28,20.8
2024-05-30,29,20.1
2024-05-31,30,19.4
2024-06-01,31,18.7
2024-06-02,32,18.0
2024-06-03,33,17.3
2024-06-04,34,16.6
2024-06-05,35,15.9
2024-06-06,36,15.2
2024-06-07,37,14.5
2024-06-08,38,16.0
2024-06-09,39,17.5
2024-06-10,40,19.0
2024-06-11,41,20.5
2024-06-12,42,22.0
2024-06-13,43,23.5
2024-06-14,44,25.0
2024-06-15,45,26.5
2024-06-16,46,28.0
2024-06-17,47,29.5
2024-06-18,48,31.0
2024-06-19,49,32.5
2024-06-20,50,34.0
2024-06-21,51,35.5
2024-06-22,52,37.0
2024-06-23,53,38.5
2024-06-24,54,40.0
