date,t,y
2024-03-01,0,15.0
2024-03-02,1,16.4
2024-03-03,2,17.8
2024-03-04,3,19.2
2024-03-05,4,20.6
2024-03-06,5,22.0
2024-03-07,6,23.4
2024-03-08,7,24.8
2024-03-09,8,26.2
2024-03-10,9,27.6
2024-03-11,10,29.0
2024-03-12,11,30.4
2024-03-13,12,31.8
2024-03-14,13,33.2
2024-03-15,14,34.6
2024-03-16,15,36.0
2024-03-17,16,37.4
2024-03-18,17,38.8
2024-03-19,18,40.2
2024-03-20,19,41.6
2024-03-21,20,43.0
2024-03-22,21,42.1
2024-03-23,22,41.2
2024-03-24,23,40.3
2024-03-25,24,39.4
2024-03-26,25,38.5
2024-03-27,26,37.6
2024-03-28,27,36.7
2024-03-29,28,35.8
2024-03-30,29,34.9
2024-03-31,30,34.0
2024-04-01,31,33.1
2024-04-02,32,32.2
2024-04-03,33,31.3
2024-04-04,34,30.4
2024-04-05,35,29.5
2024-04-06,36,28.6
2024-04-07,37,27.7
2024-04-08,38,26.8
2024-04-09,39,25.9
2024-04-10,40,25.0
2024-04-11,41,24.1
2024-04-12,42,23.2
2024-04-13,43,22.3
2024-04-14,44,24.1
2024-04-15,45,25.9
2024-04-16,46,27.7
2024-04-17,47,29.5
2024-04-18,48,31.3
2024-04-19,49,33.1
2024-04-20,50,34.9
2024-04-21,51,36.7
2024-04-22,52,38.5
2024-04-23,53,40.3
2024-04-24,54,42.1
2024-04-25,55,43.9
2024-04-26,56,45.7
2024-04-27,57,47.5
2024-04-28,58,49.3
2024-04-29,59,51.1
2024-04-30,60,52.9
